,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord,X,Y,Rating_scaled
61,8.2,28.718267,77.0639788,Panjabi Egg Corner,0,"183, Pocket 5, Sector 22, Rohini, Delhi","183, Pocket 5, Sector 22, Rohini, Delhi, 110086, India",0,0,6.670381502468197,26.131917259150217,0.11701950004608115,0.5672912201043341,0.5263157894736838
62,8.6,28.7195337,77.0650369999999,SGF restaurant sector22,1,"171 Pocket, 6, Sector 22, Rohini, Delhi","171 Pocket, 6, Pocket-6, Sector 22, Rohini, Delhi, 110086, India",0,0,6.660049027907219,26.306154429543607,0.1168412080836012,0.5711002321192381,0.631578947368421
63,10.0,28.7195799,77.0650339,SGF Restaurant,1,"#171, pocket 6 , Sector 22 Rohini Opp. Maharaja Agarsen College","#171, pocket 6 , Sector 22 Rohini Opp. Maharaja Agarsen College, Pocket-6, Sector 22, Begum Pur, Delhi, 110086, India",0,0,6.656539116588757,26.309913868268527,0.11678064282661402,0.5711824174947248,0.9999999999999998
64,8.2,28.7232543,77.0644305,Testey Pizza,0,"Road, Barwala, A-10, Begampur Barwala Road, Begampur, Sector 33, Begum Pur, Delhi","Road, Barwala, A-10, Begampur Barwala Rd, Begampur, Sector 33, Begum Pur, Delhi, 110086, India",0,0,6.350575077415953,26.58670273702286,0.11150108189757671,0.5772333199760759,0.5263157894736838
65,8.2,28.7215784,77.0660693,Rai Food Point,0,"CN4, Begampur Extension, Sector 33, Rohini, Delhi","CN4, Begampur Extension, Sector 33, Rohini, Delhi, 110086, India",0,0,6.592587165348273,26.54533666279792,0.11567712025573351,0.576329013085781,0.5263157894736838
66,9.4,28.7206516,77.0666164999999,R China Hut,0,"CH Bhim Singh Nambardar Marg, Pocket 5, Sector 22, Rohini, Delhi","CH Bhim Singh Nambardar Marg, Pocket 5, Sector 22, Rohini, Delhi, 110085, India",1,0,6.699442182088651,26.50011061211177,0.11752095645615544,0.575340322956911,0.8421052631578949
67,9.2,28.723862,77.064702,R.B.C Caterers,0,"Main Begumpur Road, Near Hanuman Mandir, Begumpur","Main Begumpur Road, Near Hanuman Mandir, Begampur, Sector 38, Begum Pur, Begumpur, Delhi 110086, India",0,0,6.327872412318438,26.65559239909569,0.11110933617491627,0.5787393221106699,0.7894736842105259
68,8.2,28.7237548,77.0648549,Da Pizza Hub Order Online,0,"1026, Begumpur Gaon Road, Begampur, Sector 38, Rohini, Delhi","1026, Begumpur Gaon Rd, Begampur, Sector 38, Rohini, Delhi, 110086, India",0,0,6.346965100630561,26.65593853236843,0.11143878996143149,0.5787468889564334,0.5263157894736838
69,8.6,28.7237445,77.0648824,The Chinese Restaurant Online,0,"Begampur, Sector 38, Begum Pur, New Delhi","Begampur, Sector 38, Begum Pur, New Delhi, Delhi 110086, India",0,0,6.349762054674629,26.656769095546334,0.11148705278777964,0.5787650459611451,0.631578947368421
70,6.8,28.7238024,77.0653518,Da Pizza Hub,1,"Main Begumpur Road Near Hanuman Mandir Delhi, Delhi","Main Begumpur Road Near Hanuman Mandir Delhi, Begampur, Sector 38, Begum Pur, Delhi, 110086, India",0,0,6.380926576970751,26.690940550004512,0.11202481204449342,0.5795120707223029,0.1578947368421051
71,8.8,28.7128063,77.0688584,Gulati Ki Rasoi,0,"94-95, 2nd Floor, Pocket- 6, Sector 21, Rohini, New Delhi","94-95, 2nd Floor, Pocket- 6, Sector 21, Rohini, New Delhi, Delhi 110086, India",0,0,7.424378949900241,25.9685263785114,0.13003009918321637,0.5637193196535069,0.6842105263157896
72,7.2,28.731666,77.088133,Wah Ji Wah,1,"Flat No.142, Pocket 26, Sector-24, Rohini, Opposite Canara Bank, Delhi","Flat No.142, Pocket 26, Sector-24, Rohini, Opposite Canara Bank, Pocket 26, Sector-24, Rohini, Delhi, 110086, India",0,0,7.534935069998052,28.781643311333813,0.13193779975388603,0.6252170825720506,0.26315789473684204
73,7.2,28.730317,77.0861747,Best Restaurant In Rohini Delhi - Dilli Rasoi - Family Restaurant In Rohini,1,"Shop No.152, Pocket 12, Sector-24, Rohini, New Delhi","Shop No.152, Pocket 12, Sector-24, Rohini, New Delhi, Delhi 110085, India",0,0,7.483475714004579,28.544355912141643,0.13104984309704795,0.6200297247168487,0.26315789473684204
74,10.0,28.728638,77.0858058,Karchhi,1,"Best Star Mall, Shop No-8, Pocket-7, Best Star Mall, Sector-24, Rohini, Delhi","Shop No-8, Pocket-7, Best Star Mall, Best Star Mall, Pocket 7, Sector-24, Rohini, Delhi, 110085, India",1,0,7.574846896923593,28.37776853360572,0.13262649808135052,0.6163879453827258,0.9999999999999998
75,8.2,28.7295157,77.0901283,The Big Bun,1,"154, Pocket 12, Sector-24, Rohini, Delhi","154, Pocket 12, Sector-24, Rohini, Delhi, 110085, India",1,0,7.837374730956423,28.721898981652693,0.13715654579248598,0.6239110072434397,0.5263157894736838
76,8.8,28.7255483,77.086541,Chaap Tadka,0,"133, Pocket -2, Sector -24, Rohini, Delhi","133, Pocket -2, Sector -24, Rohini, Pocket-3, Sector-24, Rohini, Delhi, 110085, India",0,0,7.849239708035666,28.15923494035501,0.13736128184441174,0.6116105659035208,0.6842105263157896
77,7.8,28.7467628,77.0959876999999,Mr. Veg Restaurant and Pizza Point - Rohini,1,"Bawana Road, Shiv Vihar, Sector 28, Rohini, Delhi","Bawana Rd, Shiv Vihar, Sector 28, Rohini, Delhi, 110042, India",2,0,7.054345476403745,30.56194137589381,0.12364498845455099,0.6641363137711628,0.4210526315789471
78,8.6,28.745877,77.0970509999999,Manish Dhaba,0,"Shop No. A-475, Bawana Auchandi Road, Sahibabad Dairy, Rohini, Delhi","Shop No. A-475, Bawana Auchandi Road, Sahibabad Dairy, Prahladpur, Rohini, Delhi, 110042, India",0,0,7.197061796151918,30.552340859164097,0.12610762918748006,0.6639264361457962,0.631578947368421
79,9.0,28.7424286,77.097538,E-block Souchalay,0,"Sahibabad Dairy, Prahladpur, Rohini, Delhi","Sahibabad Dairy, Prahladpur, Rohini, Delhi, 110042, India",0,0,7.478231681220451,30.287664683394034,0.13095935471588876,0.6581403301657069,0.7368421052631577
80,9.2,28.7725753,77.1200568,Bansal sweets,0,"Khera Kalan Village, Delhi","Khera Kalan Village, Delhi, 110082, India",0,0,7.0320467089753755,34.26781332044424,0.12326021218607579,0.7451506618038943,0.7894736842105259
