,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2786,8.4,28.5759466,77.1957487999999,Kwic Bitte Restaurant,0,"Sarojini Nagar, Sarojini Nagar Market, Sarojini Nagar, New Delhi","Sarojini Nagar, Sarojini Nagar Market, Sarojini Nagar, New Delhi, Delhi 110023, India",0,0,26.678761567445697,22.16986989962945
2787,8.4,28.5698358,77.1940827,Kulcha King,1,"144, Ring Road, Market, Sarojini Nagar, New Delhi","144, Ring Rd, Market, Sarojini Nagar, New Delhi, Delhi 110023, India",0,0,26.987874931296886,21.543513256879898
2788,8.6,28.5790544,77.1831256,Ingredients Restaurant,0,"Shop No 4, New Moti Bagh, New Delhi","Shop No 4, New Moti Bagh, New Delhi, Delhi 110021, India",0,0,25.508804416062457,21.649040443989943
2789,8.0,28.577079,77.1866079,Rasoi Corner,0,"Shop No.19, Suvidha Market, Netaji Nagar, New Delhi","Shop No.19, Suvidha Market, Netaji Nagar, Block D, Block D Market, Netaji Nagar, New Delhi, Delhi 110023, India",1,0,25.91102096166535,21.697112833840716
2790,7.8,28.580038,77.189038,The Qube,1,"Diplomatic Enclave, Chanakyapuri, New Delhi","Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",0,0,25.883405276468483,22.101553353751154
2791,8.0,28.5709067,77.1834377,Nathu's Sweets,1,"Block B, Sector 13, RK Puram, New Delhi","Block B, Sector 13, RK Puram, New Delhi, Delhi 110023, India",0,0,26.11139475658924,20.971760912467833
2792,7.8,28.569102,77.185323,The Deck,1,"The Deck, Open Air, Pool Side Hyatt Regency Delhi, Bhikaji Cama Place, New Delhi","The Deck, Open Air, Pool Side Hyatt Regency Delhi, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",1,0,26.381425225341097,20.93491055645245
2793,9.0,28.5691353,77.1856308,Non Veg Biryani,0,"11, Near Hyatt Hotel, Bhikaji Cama Place, RK Puram, New Delhi","11, Near Hyatt Hotel, Bhikaji Cama Place, RK Puram, New Delhi, Delhi 110066, India",0,0,26.402200611927906,20.956938532707916
2794,7.4,28.5797104,77.2011249,Krispy Kitchen LLP,0,"Shop No.1, P-2, Vikas Commercial Complex, Pillanji, Sarojini Nagar, New Delhi","Shop No.1, P-2, Vikas Commercial Complex, Pillanji, Sarojini Nagar, Pilanji, Sarojini Nagar, New Delhi, Delhi 110023, India",1,0,26.815417764738015,22.82668776088402
2795,8.8,28.5847069,77.1915551,Laguna Sizzlers,0,"Shop number 1118, Yashwant palace Market, Chanakyapuri, New Delhi","Shop number 1118, Yashwant palace Market, Chanakyapuri, New Delhi, Delhi 110021, India",0,0,25.740800079949835,22.65760468872958
